brand,model_slug,rating,text
ATHER,rizta,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,rizta,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,rizta,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,450-apex,4.7,Actually worth buying Just the charging time is a bit more But overall it’s good Its Aggressive looks make it different from others High performance with good acceleration.
ATHER,450-apex,5.0,This bike is vfm i bought it recently and the acceleration is crazy as hell if u have the money you can definitely go for it and the range is also quite good and you can use it.
ATHER,450-apex,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450-apex,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450-apex,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450-apex,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450-apex,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,450-apex,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450-apex,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450-apex,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450-apex,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450-apex,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,450s,4.0,"Very convenient vehicle. I go out almost 5 times a day just for anything, such is the temptation to ride this vehicle. Addictive I would say! :) I was riding Interceptor 650."
ATHER,450s,5.0,Nice Performance and road grip and maintained well service from date to date and reminder off every Particular Service. Nice Designs and Nice color of all Models Nice.
ATHER,450s,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450s,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450s,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450s,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450s,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
ATHER,450s,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
ATHER,450s,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
ATHER,450s,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
ATHER,450s,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
ATHER,450s,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
BAJAJ,chetak-2903,4.3,"Bajaj chetak aj se 20-25yrs phle bhi ati thi scooter me, or aj ke generation k liye fir se isi naam se company ne laya h ye bahot sahi h or ye EV h jiske karan daily user ka."
BAJAJ,chetak-2903,5.0,Nice one mast hai yaar ek no stylish bhi aur achi khasi range bhi aur affordable bhi hai like it ek no h .Chalane me to maja aa gya bhai ek no h dil khush ho gya super duper.
BAJAJ,chetak-2903,4.0,Milage is 85kmph.riding comfort is nice.i drive this for a month I got only 85km only.charging time for 0to. 90 is 4 hour approximately. I drive with my two kids regularly for.
BAJAJ,chetak-2903,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
BAJAJ,chetak-2903,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
BAJAJ,chetak-2903,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
BAJAJ,chetak-2903,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
BAJAJ,chetak-2903,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
BAJAJ,chetak-2903,,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment."
BAJAJ,chetak-2903,,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.
BAJAJ,chetak-2903,,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.
BAJAJ,chetak-2903,,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍
BAJAJ,chetak-2903,,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret"
BAJAJ,chetak-3501,4.8,"My experience with Bajaj Chetak is very good. The reason for buying it was that my father had an old Chetak scooter which I still have. To give me the same feeling back, I gifted."
BAJAJ,chetak-3501,5.0,Ride experience is very good ground clearance also good range upto above 120 km safety battery and charge upto 5hours and has also bluetooth and lock screen security overall good.
BAJAJ,chetak-3501,4.7,This electric scooter is tha best in this price segment best features provide in this particular price range and best comfortable ride experience and very practical and powerful.
BAJAJ,chetak-3501,4.2,"Bajaj chetak 3501 is a premium electric scooty in bajaj series with classical metal body , smart features and modern design. It has 3.5 Kwh battery with a real world range of 150."
BAJAJ,chetak-3501,4.2,A good electric scooter with many features in a good price range . Overall a worthy vehicle for the money invested. Comfort of the vehicle is next level . Even though there are.
BAJAJ,chetak-3501,4.7,Very good condition. Best feature. Modes. it's a best performance in segment and there is nothing any regret after buying this or main ise 1 saal ke upar se chale rha hu or mujhe.
BAJAJ,chetak-3501,4.0,All over experience with bajaj chetak is awasome but sometimes i felt that bajaj can improve more things like tyre size and speed meter. Also in the rainy season bajaj chetak.
BAJAJ,chetak-3501,5.0,Very nice polution less. Low time charge with high mileage 💜. Nice family rider . noise polution less. perfect for family and bachelor's also. Take a ride you never.
BAJAJ,chetak-3501,5.0,Best bike in this century .colours are very nice. Reasonable price . Next generation people and most of the peoples are like that Bajaj chetak. Service centre are.
BAJAJ,chetak-3501,4.7,"It's good as of now, the instant power of an ev is thrilling. Charging time is decent. Milega could have been a bit more but don't get me wrong, it's not low but a liye more."
BAJAJ,chetak-3501,3.5,It's a good bike and heavy work bike is for daily use is best and mileg is also good 👍🏻 you can purchase this bike for daily use and seat is comfortable seat is very soft.
BAJAJ,chetak-3501,4.2,Good looking scooter in this budget go for it Looks are good comparing from ola s1+ or s1 pro in this budget baja chetak is good option for students and college goings Bajaj.
BAJAJ,chetak-3501,5.0,This bike so awesome. I could not expect this performance for this price. This is top for all electric vehicles. This is value for money. I'm so much happy for buying this bike. I.
BAJAJ,chetak-3501,3.2,"Nice as electric scooter helps to keep environment clean and pollution free and also Free from harsh sound, so a pollution free and environment safe choice is very good. It is."
BAJAJ,chetak-3501,4.2,"It is stylish for me, low fuel price is best thing . This is best in the whole electric scooter. I using for 6 months I didn't get any problem. I like the bajaj product for."
BAJAJ,chetak-3501,5.0,"Recently i have purchased a blue clr bajaj Chetak EV.The slim and slik body just looks awesome. Power to weight ratio, throttle response, mileage, charging time, battery."
BAJAJ,chetak-3501,5.0,Bike looks very stylish and the mileage to the charge is also good but the only concern Is price but it is Bajaj company so there's no way to reject this deal .All we know till.
BAJAJ,chetak-3501,3.5,"Overall a good bike. Just need to check about their maintenance once, not yet completed 5000 kms. The colour variations are also good. I compared all the competitors while buying."
BAJAJ,chetak-3501,5.0,What a excellent scooter! I drive it almost 2000km and never faced a single problem. Bajaj is love. I am happy and satisfied with the scooter. It is like the best scooter. We csn.
BAJAJ,chetak-3501,5.0,"All over good expirence, best EV in market now days. Variant 3501 is best EV. Safety is good. Metal body is very storng and hard for safety. Serivce is good. My plan to buy ola."
BAJAJ,chetak-3501,5.0,"When i buy this scooter it is very easy to buy i drive my scooter i feels amezing. Its great to driving,looks,and feel so classy. I thought about other companies but my choice is."
BAJAJ,chetak-3501,4.5,Its stylish comfortable and safe but sometimes its feel while riding that something is pulling back but after maintenance the problem is solved and allover its very nice.
BAJAJ,chetak-3501,4.8,"I drive my chetak been 5 months this is amazing experience. Truly it's great to driving, looks, and feel so classy.❤️💕 I thought about other companies vichal but my."
BAJAJ,chetak-3501,5.0,Overall best experience. Actual range varies according to driving. According to My experience 120 kms in single charge. Design is best. Build quality is best. Top speed is 75 as I.
BAJAJ,chetak-3501,3.5,The scooty is good comfortable for medium ranges without heating problems.Range is also good of more than 100 kms in single charge.Looks are like old model scooter not that good.
BAJAJ,chetak-3501,5.0,"Excellent performance, excellent comfort & Excellent millage. Service Center is better other EV . Bajaj Chatak Color and design is looking beautiful.Build quality is better than."
BAJAJ,chetak-3501,5.0,It is the smoothest ride i have ever got .build quality is very good it saves lots of energy and as it is EV it saves fuel and it is environment friendly it is sustainable and.
BAJAJ,chetak-3501,4.2,"In overall the vehicle is above the expectation, Eventhough there are many areas needed to improve including app connectivity and features there is only a limited features are."
