brand,model_slug,text,rating
ATHER,450x,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450x,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450x,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,rizta,"I purchased highest model ""Z SUPER MATTE-3.7 KwH"". I ride it 8 month ups. Ather & Arai giving wrong information about Mileage. they say 160km/1 time charge. when in reality Rizta.....",4
ATHER,rizta,This is a nice ev scooty comfortable and safe easy to use also gives a good mileage and charges in 6-7 hours good to use can even used for delivery and rapido purpose nice product.....,4.2
ATHER,rizta,Very good family scooter good staff and a practical scooter fulfills my needs it gives me a good riding range. The scooter has a spacious boot and the colours are very good the.....,4.7
ATHER,rizta,This E bike give good km mileage in one charge. It is very comfortable in case of riding. For safety purpose it is also good and it is also have fast charging feature. It is.....,4.7
ATHER,rizta,Great ev from ather one of the best in the segment performs at least 115 km per charge and the ride quality is optimum fo city chores overall nice ev it's the best I could've.....,4.5
ATHER,rizta,Best scooter among the segment I think it's range could be better but it's best Compared from other scooters this scooter in this segment offer the disk breaks which is different.....,4.8
ATHER,rizta,"I bought Ather Rizta from MST Motors, Aizawl, on 9th September 2024 and have ridden around 3600 km in six months. I had been wanting an Electric Scooter for a while, but the.....",4
ATHER,rizta,Wonderful service by ather Already provided Fast charging station in nearby area Thanks ather to build this kind of ev scooter. Very suitable for Indian family and built.....,4.8
ATHER,rizta,"I purchased this new scooter from shree sai taj energy Ca road nagpur two months ago, now scooter is not starting and not even showing on display completely blank, Showroom owner.....",1.5
ATHER,rizta,Very nice bike and good milage very comfortable e bike I very like ather e bike Very smooth running experience Colour options many looking a smart bike and desining very.....,5
ATHER,rizta,The ride experience is very good When u drive you just fly with the air. Best part of the vehicle is the riding modes I also drive the old ather ev i am happy with that But.....,4.8
ATHER,rizta,Overall a good scooter ! The build quality is amazing as compared to competition like ola and tvs ! This goes amazing and well if you are looking for roghu and though and a.....,4.7
ATHER,rizta,"Awesome bike, simple you can go for it , smooth experience of buying,staff was good and polite,thank you for this good experience,hdieo skkshwb jgdofonsians jajsnsnisnse.....",5
ATHER,rizta,"the ather rizta is a family oriented electirc scooter that combines practicality with modern features.its design is straight forward,featuring clean lines and a boxy appearance.....",4.5
ATHER,rizta,Very low performance on echo mode. We have to ride it on Zip drive only. Useless use of echo mode. We have another ev iqube it is very good on echo as well as on zip mode......,4
ATHER,rizta,"I bought Ather Rizta S, 2 month ago. And this the best electric scooter i could bought. I have driven this scooter around 2000 kms till now. Best thing about this scooter is,.....",5
ATHER,rizta,It's need to be add more features for this price other than its best good looking bike for family and have a good space for goods,4.7
ATHER,rizta,Good nice ather Rizta 1.23 km Low priz only 1.44 lac Charging hub Best service good quality Nice look Other ev schoter better than ather,5
ATHER,rizta,"On the road experienced...... flying in the sky with Rizta. This is the fourth ather.....we own All are exceptionally good, Rizta...the best.",5
ATHER,rizta,i tried a test drive in ather showroom and feel discomfort and the foot rest is so bad and propack is also a headache,4.2
ATHER,rizta,"I recently made the switch to electric mobility with the Ather Rizta, and it's been a game-changer. The sleek design and vibrant color options instantly caught my eye, but it's.....",4.7
ATHER,rizta,"Good as per milage, price and back up charge but disappoints at look in front part except that every thing Is good",4.3
ATHER,rizta,all in one bike in ev ather not by ola not by tvs only bay ather ather jesi koh bike hohi nahi sakti he,5
ATHER,rizta,"It is a very good Believe me it is worth of money.In this price range,best comfort best range safety etc..",4.7
ATHER,rizta,Every thing is good about this Scotty in this price range milage also very nice overall very everything is going well,5
ATHER,rizta,Amazing scooter I purchased. All are superb however some feature are to be improved specifically add disk brake at back,4.8
ATHER,rizta,Design price colour combination battery life battery safety vehicle motor 🛵 all things is great and most important this is a made in india.,5
ATHER,rizta,The overall best ev in the electric scooter segments I have recently purchased and I am. Fully happy thankyou ather,4.3
ATHER,rizta,Good 👍 comfort seat and mileage affordable price in this segment in India better than ola electric scooter so buy this ather rizta,4.5
ATHER,rizta,Good 👍 comfort seat and mileage affordable price in this segment in India better than ola electric scooter so buy this ather rizta,4.5
ATHER,rizta,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,rizta,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,rizta,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,rizta,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,rizta,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,rizta,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,rizta,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,rizta,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,rizta,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,rizta,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,450-apex,Actually worth buying Just the charging time is a bit more But overall it’s good Its Aggressive looks make it different from others High performance with good acceleration.....,4.7
ATHER,450-apex,This bike is vfm i bought it recently and the acceleration is crazy as hell if u have the money you can definitely go for it and the range is also quite good and you can use it.....,5
ATHER,450-apex,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450-apex,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,450-apex,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450-apex,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450-apex,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,450-apex,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450-apex,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,450-apex,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450-apex,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450-apex,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,450s,"Very convenient vehicle. I go out almost 5 times a day just for anything, such is the temptation to ride this vehicle. Addictive I would say! :) I was riding Interceptor 650.....",4
ATHER,450s,Nice Performance and road grip and maintained well service from date to date and reminder off every Particular Service. Nice Designs and Nice color of all Models Nice.....,5
ATHER,450s,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450s,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,450s,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450s,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450s,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
ATHER,450s,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
ATHER,450s,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
ATHER,450s,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
ATHER,450s,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
ATHER,450s,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
BAJAJ,chetak-2903,"Bajaj chetak aj se 20-25yrs phle bhi ati thi scooter me, or aj ke generation k liye fir se isi naam se company ne laya h ye bahot sahi h or ye EV h jiske karan daily user ka.....",4.3
BAJAJ,chetak-2903,Nice one mast hai yaar ek no stylish bhi aur achi khasi range bhi aur affordable bhi hai like it ek no h .Chalane me to maja aa gya bhai ek no h dil khush ho gya super duper.....,5
BAJAJ,chetak-2903,Milage is 85kmph.riding comfort is nice.i drive this for a month I got only 85km only.charging time for 0to. 90 is 4 hour approximately.. I drive with my two kids regularly for.....,4
BAJAJ,chetak-2903,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
BAJAJ,chetak-2903,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
BAJAJ,chetak-2903,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
BAJAJ,chetak-2903,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
BAJAJ,chetak-2903,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
BAJAJ,chetak-2903,"I have been riding the scrambler 400x for a while now, and overall, it's been a rewarding experience. The bike has a strong person in its retro modern design, and it definitely turns heads. They build quality field premium, which is something you should expect from Triumph, and the finish of the tank and the body is top notch. Performance wise, the 398CC Single cylinder engine packs decent punch. It's smooth and refined and has enough grunt for both city and light off-road. Suspension and tires are made for light off-road ride. But yeah, Indian roads are actually light off-road, so it's the best. Only complaint I have noticed is. Cons. 1. A noticeable engine shim noise issue that has nothing to do with the bike but still irritates while riding. Also spoken with the brand they said it's normal. But not something that we can expect from a brand like Triumph. 2. Indicators and Tail Tidy feels very low quality. Indicators got water intake while raining or washing, within days of purchase. Also indicators faded within months. Even a small hit or the pillion foot is enough for the indicators to break. Excluding these cons, one of the best budget premium scrambler ever in the segment.",
BAJAJ,chetak-2903,this is the superb bike in this price and we can use in daily rutiene and this bike also for long rout as milage is very very good we can trust so i prefer to whose people they want daily routine work like field job and porter and all the daily works they can trust on this bike because we want milage.,
BAJAJ,chetak-2903,It is a good bike because of his appearance and speed and his shoot off and offf reading which it is one of the best bike i had ever seen. It's texture dezing lining etc are very good 👍 👌. Thanks I will honour of your to launch this bike in India thanks to your team and member who made this goges bike 🏍 . I will appreciate for your hard work 🙏 ❤️ 💪.,
BAJAJ,chetak-2903,Tvs raider is a Best bike under this price range and it is excellent than other companies bikes in this range or more than this range. Milage of this bike is better and engine is also 👌 good .looks of this bike is glamorous give the personality of these bikes . Many people in my neighbors Already has this bikes . I recommend all the people to but this bike.a good bike tvs raider👍,
BAJAJ,chetak-2903,"Bought this bike 6 months ago and done almost 9000km and the bike is running smooth did a little little bit of modification to exhaust now it sounds better than the re650’s. Good performance, very comfortable mileage is not good but enough for a 650cc motorcycle, if anyone is looking for re 650 i would recommend do take a test ride of goldstar you will not regret",
BAJAJ,chetak-3501,"My experience with Bajaj Chetak is very good. The reason for buying it was that my father had an old Chetak scooter which I still have. To give me the same feeling back, I gifted.....",4.8
BAJAJ,chetak-3501,Ride experience is very good ground clearance also good range upto above 120 km safety battery and charge upto 5hours and has also bluetooth and lock screen security overall good.....,5
BAJAJ,chetak-3501,This electric scooter is tha best in this price segment best features provide in this particular price range and best comfortable ride experience and very practical and powerful.....,4.7
BAJAJ,chetak-3501,"Bajaj chetak 3501 is a premium electric scooty in bajaj series with classical metal body , smart features and modern design. It has 3.5 Kwh battery with a real world range of 150.....",4.2
BAJAJ,chetak-3501,A good electric scooter with many features in a good price range . Overall a worthy vehicle for the money invested. Comfort of the vehicle is next level . Even though there are.....,4.2
BAJAJ,chetak-3501,Very good condition. Best feature. Modes. it's a best performance in segment and there is nothing any regret after buying this or main ise 1 saal ke upar se chale rha hu or mujhe.....,4.7
BAJAJ,chetak-3501,All over experience with bajaj chetak is awasome but sometimes i felt that bajaj can improve more things like tyre size and speed meter. Also in the rainy season bajaj chetak.....,4
BAJAJ,chetak-3501,Very nice polution less. Low time charge with high mileage 💜. Nice family rider .. noise polution less.. perfect for family and bachelor's also. Take a ride you never.....,5
BAJAJ,chetak-3501,Best bike in this century ...colours are very nice.. Reasonable price ...... Next generation people and most of the peoples are like that Bajaj chetak... Service centre are.....,5
BAJAJ,chetak-3501,"It's good as of now, the instant power of an ev is thrilling. Charging time is decent. Milega could have been a bit more but don't get me wrong, it's not low but a liye more.....",4.7
BAJAJ,chetak-3501,It's a good bike and heavy work bike is for daily use is best and mileg is also good 👍🏻 you can purchase this bike for daily use and seat is comfortable seat is very soft.....,3.5
BAJAJ,chetak-3501,Good looking scooter in this budget go for it Looks are good comparing from ola s1+ or s1 pro in this budget baja chetak is good option for students and college goings Bajaj.....,4.2
BAJAJ,chetak-3501,This bike so awesome. I could not expect this performance for this price. This is top for all electric vehicles. This is value for money. I'm so much happy for buying this bike. I.....,5
BAJAJ,chetak-3501,"Nice as electric scooter helps to keep environment clean and pollution free and also Free from harsh sound, so a pollution free and environment safe choice is very good. It is.....",3.2
BAJAJ,chetak-3501,"It is stylish for me, low fuel price is best thing . This is best in the whole electric scooter. I using for 6 months I didn't get any problem. I like the bajaj product for.....",4.2
BAJAJ,chetak-3501,"Recently i have purchased a blue clr bajaj Chetak EV...The slim and slik body just looks awesome. Power to weight ratio, throttle response, mileage, charging time, battery.....",5
BAJAJ,chetak-3501,Bike looks very stylish and the mileage to the charge is also good but the only concern Is price but it is Bajaj company so there's no way to reject this deal .All we know till.....,5
BAJAJ,chetak-3501,"Overall a good bike. Just need to check about their maintenance once, not yet completed 5000 kms. The colour variations are also good. I compared all the competitors while buying.....",3.5
BAJAJ,chetak-3501,What a excellent scooter! I drive it almost 2000km and never faced a single problem. Bajaj is love. I am happy and satisfied with the scooter. It is like the best scooter. We csn.....,5
BAJAJ,chetak-3501,"All over good expirence, best EV in market now days. Variant 3501 is best EV. Safety is good. Metal body is very storng and hard for safety. Serivce is good. My plan to buy ola.....",5
BAJAJ,chetak-3501,"When i buy this scooter it is very easy to buy i drive my scooter i feels amezing. Its great to driving,looks,and feel so classy. I thought about other companies but my choice is.....",5
BAJAJ,chetak-3501,Its stylish comfortable and safe but sometimes its feel while riding that something is pulling back but after maintenance the problem is solved and allover its very nice.....,4.5
BAJAJ,chetak-3501,"I drive my chetak been 5 months this is amazing experience... Truly it's great to driving, looks, and feel so classy..❤️💕 I thought about other companies vichal but my.....",4.8
BAJAJ,chetak-3501,Overall best experience. Actual range varies according to driving. According to My experience 120 kms in single charge. Design is best. Build quality is best. Top speed is 75 as I.....,5
BAJAJ,chetak-3501,The scooty is good comfortable for medium ranges without heating problems.Range is also good of more than 100 kms in single charge.Looks are like old model scooter not that good.....,3.5
BAJAJ,chetak-3501,"Excellent performance, excellent comfort & Excellent millage. Service Center is better other EV . Bajaj Chatak Color and design is looking beautiful.Build quality is better than.....",5
BAJAJ,chetak-3501,It is the smoothest ride i have ever got .build quality is very good it saves lots of energy and as it is EV it saves fuel and it is environment friendly it is sustainable and.....,5
BAJAJ,chetak-3501,"In overall the vehicle is above the expectation, Eventhough there are many areas needed to improve including app connectivity and features there is only a limited features are.....",4.2
